Species,phylo,climb2,climb,MANUS,SMI,BI,HRI,HEB,OLI,URI,CI,FRI,GI,FEB,TRI,TSI,PES,IM,SI,Catalog_number,Total_length,Tail_length,TAIL
Phloeomys_pallidus,Phloeomys_pallidus,1,1,0.801526718,0.421191029,0.878112916,0.08553751,0.272389791,0.167780749,0.052139037,0.948337596,0.077365729,0.080179028,0.218030691,0.069714132,0.453074434,0.67472119,0.817077973,0.786917524,175730,739,335,0.4533153
Phloeomys_pallidus,Phloeomys_pallidus,1,1,0.815527538,0.451607691,0.823234771,0.079334303,0.29697851,0.160345138,0.055006292,0.962070801,0.090896992,0.097551238,0.237822731,0.074560797,0.442661502,0.713155292,0.797124059,0.851596424,214420,704,305,0.4332386
Phloeomys_pallidus,Phloeomys_pallidus,1,1,0.830759331,0.456490952,0.845318647,0.083398899,0.278992919,0.184737569,0.049896409,0.981736368,0.078348332,0.072789836,0.221016411,0.064572661,0.50242653,0.748543689,0.811206091,0.795723479,193967,752,320,0.4255319
Phloeomys_pallidus,Phloeomys_pallidus,1,1,0.887009472,0.479458308,0.865642118,0.083079732,0.280888618,0.158824501,0.054317319,0.995307612,0.088242961,0.099582899,0.244395203,0.076872708,0.499869041,0.739791073,0.824993467,0.80933277,214419,707,335,0.4738331
Rattus_everetti,Rattus_everetti,0.05,0,0.568106312,0.444296197,1.028352235,0.084056037,0.240827218,0.163233938,0.044266831,1.122785732,0.067944674,0.094151905,0.183693278,0.048411498,0.367840934,0.434628975,0.714563329,0.738154613,216581,270,133,0.4925926
Rattus_everetti,Rattus_everetti,0.05,0,0.601485149,0.474205671,0.963443799,0.084728391,0.246327298,0.170822102,0.052897574,1.117763483,0.074715487,0.089312222,0.182335477,0.052235502,0.442452413,0.478170478,0.688668224,0.771379459,191078,468,243,0.5192308
Rattus_everetti,Rattus_everetti,0.05,0,0.601553829,0.453566622,0.995289367,0.08243607,0.23923284,0.165613148,0.041403287,1.134350036,0.071169208,0.106027596,0.176228516,0.051216389,0.421895006,0.421679571,0.69592832,0.718603661,183642,478,243,0.5083682
Rattus_everetti,Rattus_everetti,0.05,0,0.603468208,0.476468679,0.969165855,0.090230445,0.249269718,0.173954373,0.047845374,1.082025678,0.071802187,0.104374703,0.180218735,0.055592178,0.383432213,0.448538755,0.712230216,0.817001675,189881,461,238,0.516269
Rattus_everetti,Rattus_everetti,0.05,0,0.665525114,0.464052288,1.060275962,0.086419753,0.245461147,0.155671108,0.039974001,1.145511646,0.079036901,0.091860769,0.194451714,0.051405072,0.369888051,0.454602379,0.711271042,0.853250478,191077,473,252,0.5327696
Rattus_everetti,Rattus_everetti,0.05,0,0.693266833,0.45942648,0.962172056,0.08480781,0.232153752,0.163363363,0.048648649,1.115038271,0.071814498,0.085547051,0.172219721,0.054512417,0.392287503,0.450909091,0.703352847,0.792243767,188468,484,228,0.4710744
